2021-10-09 00:39:29 [http-nio-80-exec-9] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = / GET: 4 ms, 0 Kb
2021-10-09 00:50:15 [http-nio-80-exec-7] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = /favicon.ico GET: 5 ms, 71 Kb
2021-10-09 00:57:51 [http-nio-80-exec-5] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = / GET: 4 ms, 0 Kb
2021-10-09 01:30:56 [http-nio-80-exec-10] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 112.120.254.137,10.255.0.2, request = / GET: 5 ms, 0 Kb
2021-10-09 01:30:57 [http-nio-80-exec-3] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 112.120.254.137,10.255.0.2, request = /favicon.ico GET: 4 ms, 71 Kb
2021-10-09 02:00:56 [http-nio-80-exec-2] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = / GET: 5 ms, 0 Kb
2021-10-09 02:00:56 [http-nio-80-exec-9] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = /css/app.a901b079.css GET: 2 ms, 5 Kb
2021-10-09 02:00:56 [http-nio-80-exec-4] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = /css/chunk-vendors.a4f0ebe8.css GET: 7 ms, 239 Kb
2021-10-09 02:00:56 [http-nio-80-exec-7] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = /js/app.fba78ed0.js GET: 6 ms, 187 Kb
2021-10-09 02:00:56 [http-nio-80-exec-8] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = /js/chunk-vendors.a813cfb2.js GET: 18 ms, 1178 Kb
2021-10-09 02:00:57 [http-nio-80-exec-5] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = /api/management/info GET: 2 ms, 0 Kb
2021-10-09 02:00:57 [http-nio-80-exec-10] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = /favicon.ico GET: 3 ms, 71 Kb
2021-10-09 02:00:57 [http-nio-80-exec-6] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = /api/jwt POST: 89 ms, 0 Kb
2021-10-09 02:00:57 [http-nio-80-exec-3] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = /fonts/fontawesome-webfont.af7ae505.woff2 GET: 4 ms, 75 Kb
2021-10-09 02:02:21 [http-nio-80-exec-9] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = / GET: 4 ms, 0 Kb
2021-10-09 02:02:32 [http-nio-80-exec-4] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = /webfig/ GET: 60 ms, error 404, 0 Kb
2021-10-09 02:33:37 [http-nio-80-exec-8] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = / GET: 4 ms, 0 Kb
2021-10-09 03:20:53 [http-nio-80-exec-10] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = / GET: 4 ms, 0 Kb
2021-10-09 03:20:54 [http-nio-80-exec-6] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = / GET: 3 ms, 0 Kb
2021-10-09 04:20:48 [http-nio-80-exec-1] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = /GponForm/diag_Form?style/ POST: 61 ms, error 404, 0 Kb
2021-10-09 04:45:12 [http-nio-80-exec-9] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = /wordpress/ GET: 61 ms, error 404, 0 Kb
2021-10-09 04:57:20 [http-nio-80-exec-7] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = / GET: 4 ms, 0 Kb
2021-10-09 04:57:20 [http-nio-80-exec-8] INFO  javamelody - remoteAddr = 10.0.0.12, forwardedFor = 10.255.0.2, request = / GET: 4 ms, 0 Kb
